Name,degree,appTotal,adminTotal,enrollTotal,percentSAT,percentACT,SAT25,SAT75,ACT25,ACT75,Std Scores,percentAdmit,adYield,tuition,tuitionTransformed,State abbreviation,geo,CoI,histoBlack,DoI,Total  current enrollment,FTEnroll,percentFT,PTEnroll,h,GDEnroll,percentUn,GDRate,freshmenAid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,en,percentSAT2,stdScores2,percentAdmit2,adYield2,percentFT2,percentUN2,GDRate2,freshmenAid2,en2,percentUN*en,stdScore*GDRate,percentFT*freshmenAid,percentSAT*percentAdmit,percentSAT*GDRate,percentSAT*freshmenAid,percentSAT*en,stdScores*adYield,stdScores*percentFT,stdScores*percentUN,PercentAdmit*GDRate,adYield*percentUN,adYield*en,percentFT*GDRate,freshmenAid*en
University of Minnesota-Twin Cities,DRP,43048,19121,5544,14,92,1170,1430,26,30,2360,44,29,13555,4.041538839,Minnesota,P,0,0,C,51526,38767,75,12759,34449,17077,67,54,77,49,9,48052,196,5569600,1936,841,5625,4489,2916,5929,2308994704,3219484,127440,5775,616,756,1078,672728,68440,177000,158120,2376,1943,1393508,4050,3700004
University of California-Los Angeles,DRP,72676,15981,5620,91,41,1160,1440,25,31,2310,22,35,12697,4.002931733,California,FW,0,0,C,40795,39794,98,1001,28674,12121,70,69,62,34,1,34375,8281,5336100,484,1225,9604,4900,4761,3844,1181640625,2406250,159390,6076,2002,6279,5642,3128125,80850,226380,161700,1518,2450,1203125,6762,2131250
University of Colorado Boulder,DRP,22473,19710,5846,45,75,1060,1280,24,29,2170,88,30,10347,3.884459503,Colorado,RM,0,0,C,32017,26242,82,5775,26096,5921,82,44,59,36,5,0,2025,4708900,7744,900,6724,6724,1936,3481,0,0,95480,4838,3960,1980,2655,0,65100,177940,177940,3872,2460,0,3608,0
University of Central Florida,DRP,31820,15572,6068,64,36,1090,1270,23,28,2160,49,39,6317,3.613043506,Florida,SE,0,0,S,59589,39966,67,19623,51333,8256,86,36,96,40,2,2587,4096,4665600,2401,1521,4489,7396,1296,9216,6692569,222482,77760,6432,3136,2304,6144,165568,84240,144720,185760,1764,3354,100893,2412,248352
University of Missouri-Columbia,DRP,20956,16473,6194,8,94,1040,1290,23,28,2110,79,38,9415,3.831008465,Missouri,P,0,0,C,34616,30318,88,4298,26928,7688,78,47,84,52,4,22448,64,4452100,6241,1444,7744,6084,2209,7056,503912704,1750944,99170,7392,632,376,672,179584,80180,185680,164580,3713,2964,853024,4136,1885632
University of Michigan-Ann Arbor,DRP,46813,15570,6200,34,83,1280,1480,28,32,2540,33,40,13142,4.023223853,Michigan,GL,0,0,C,43710,41152,94,2558,28283,15427,65,76,63,36,3,185879,1156,6451600,1089,1600,8836,4225,5776,3969,34551002641,12082135,193040,5922,1122,2584,2142,6319886,101600,238760,165100,2508,2600,7435160,7144,11710377
University of Washington-Seattle Campus,DRP,30199,16679,6253,86,31,1100,1360,25,30,2250,55,37,12397,3.988906445,Washington,FW,0,0,C,43762,38327,88,5435,29756,14006,68,57,55,29,1,51447,7396,5062500,3025,1369,7744,4624,3249,3025,2646793809,3498396,128250,4840,4730,4902,4730,4424442,83250,198000,153000,3135,2516,1903539,5016,2829585
University of Wisconsin-Madison,DRP,23324,15841,6279,22,85,1160,1400,26,30,2350,68,40,10403,3.887538414,Wisconsin,GL,0,0,C,42677,38428,90,4249,30728,11949,72,55,64,36,6,60936,484,5522500,4624,1600,8100,5184,3025,4096,3713196096,4387392,129250,5760,1496,1210,1408,1340592,94000,211500,169200,3740,2880,2437440,4950,3899904
Purdue University-Main Campus,DRP,31083,18779,6422,73,54,1080,1320,24,30,2190,60,34,9992,3.864603829,Indiana,GL,0,0,S,39794,34871,88,4923,30446,9348,77,42,66,37,10,55060,5329,4796100,3600,1156,7744,5929,1764,4356,3031603600,4239620,91980,5808,4380,3066,4818,4019380,74460,192720,168630,2520,2618,1872040,3696,3633960
The University of Alabama,DRP,30975,17515,6454,23,76,990,1260,22,30,2020,57,37,9450,3.833095677,Alabama,SE,0,0,C,34752,29498,85,5254,29440,5312,85,43,75,41,8,19469,529,4080400,3249,1369,7225,7225,1849,5625,379041961,1654865,86860,6375,1311,989,1725,447787,74740,171700,171700,2451,3145,720353,3655,1460175
Ohio State University-Main Campus,DRP,31359,17413,7130,39,83,1150,1380,27,31,2370,56,41,10037,3.867153744,Ohio,GL,0,0,C,57466,50012,87,7454,44201,13265,77,59,83,45,6,52745,1521,5616900,3136,1681,7569,5929,3481,6889,2782035025,4061365,139830,7221,2184,2301,3237,2057055,97170,206190,182490,3304,3157,2162545,5133,4377835
Arizona State University-Tempe,DRP,21770,17465,7171,64,51,1020,1270,22,28,2050,80,41,9861,3.857124557,Arizona,SW,0,0,C,48702,42498,87,6204,38730,9972,80,38,91,41,3,8058,4096,4202500,6400,1681,7569,6400,1444,8281,64931364,644640,77900,7917,5120,2432,5824,515712,84050,178350,164000,3040,3280,330378,3306,733278
The University of Texas at Austin,DRP,38161,15335,7249,83,55,1140,1380,25,31,2290,40,47,9798,3.853497424,Texas,SW,0,0,C,52059,47741,92,4318,39979,12080,77,51,63,39,2,63743,6889,5244100,1600,2209,8464,5929,2601,3969,4063170049,4908211,116790,5796,3320,4233,5229,5290669,107630,210680,176330,2040,3619,2995921,4692,4015809
University of Illinois at Urbana-Champaign,DRP,33203,20716,7329,28,79,1260,1450,26,31,2450,62,35,14750,4.091973494,Illinois,GL,0,0,C,44942,41118,91,3824,32695,12247,73,68,65,41,10,21391,784,6002500,3844,1225,8281,5329,4624,4225,457574881,1561543,166600,5915,1736,1904,1820,598948,85750,222950,178850,4216,2555,748685,6188,1390415
University of Arizona,DRP,26329,20251,7401,66,52,983,1230,21,27,1973,77,37,10391,3.88687984,Arizona,SW,0,0,C,40621,35388,87,5233,31670,8951,78,40,83,36,3,15972,4356,3892729,5929,1369,7569,6084,1600,6889,255104784,1245816,78920,7221,5082,2640,5478,1054152,73001,171651,153894,3080,2886,590964,3480,1325676
Indiana University-Bloomington,DRP,37826,27300,7604,72,64,1060,1290,24,30,2170,72,28,10209,3.876811058,Indiana,GL,0,0,C,46817,37467,80,9350,36862,9955,79,58,71,37,6,20689,5184,4708900,5184,784,6400,6241,3364,5041,428034721,1634431,125860,5680,5184,4176,5112,1489608,60760,173600,171430,4176,2212,579292,4640,1468919
Pennsylvania State University-Main Campus,DRP,47552,25772,7649,78,14,1090,1300,25,29,2240,54,30,16992,4.17785497,Pennsylvania,ME,0,0,C,46615,44639,96,1976,40085,6530,86,65,68,48,9,32655,6084,5017600,2916,900,9216,7396,4225,4624,1066349025,2808330,145600,6528,4212,5070,5304,2547090,67200,215040,192640,3510,2580,979650,6240,2220540
Michigan State University,DRP,31479,21610,8061,15,82,970,1270,23,28,2040,69,37,12862,4.010525538,Michigan,GL,0,0,C,49317,43276,88,6041,37985,11332,77,50,63,43,5,45391,225,4161600,4761,1369,7744,5929,2500,3969,2060342881,3495107,102000,5544,1035,750,945,680865,75480,179520,157080,3450,2849,1679467,4400,2859633
Texas A & M University-College Station,DRP,31387,21803,10241,86,55,1070,1290,23,29,2140,69,47,8506,3.774335123,Texas,SW,0,0,C,55697,48780,88,6917,44072,11625,79,49,79,33,5,171461,7396,4579600,4761,2209,7744,6241,2401,6241,29398874521,13545419,104860,6952,5934,4214,6794,14745646,100580,188320,169060,3381,3713,8058667,4312,13545419
